TABLE_NAME,TPA,COLUMN_NAME,DATA_TYPE,NULLABLE,DEFAULT_VALUE,DESCRIPTION
DENTAL_CLAIMS,provider_e,MEMBER_RESPONSIBILITY,"NUMBER(18,2)",Y,0.00,Member cost share
DENTAL_CLAIMS,provider_e,CLAIM_STATUS,VARCHAR(50),Y,PENDING,Claim status
DENTAL_CLAIMS,provider_e,CREATED_AT,TIMESTAMP_NTZ,N,CURRENT_TIMESTAMP(),Record creation timestamp
PHARMACY_CLAIMS,provider_e,CLAIM_ID,VARCHAR(100),N,,Unique claim identifier
PHARMACY_CLAIMS,provider_e,MEMBER_ID,VARCHAR(100),N,,Member identifier
PHARMACY_CLAIMS,provider_e,PHARMACY_ID,VARCHAR(100),Y,,Pharmacy identifier
PHARMACY_CLAIMS,provider_e,PHARMACY_NAME,VARCHAR(500),Y,,Pharmacy name
PHARMACY_CLAIMS,provider_e,FILL_DATE,DATE,N,,Prescription fill date
PHARMACY_CLAIMS,provider_e,NDC_CODE,VARCHAR(50),N,,National Drug Code
PHARMACY_CLAIMS,provider_e,DRUG_NAME,VARCHAR(500),Y,,Drug name
PHARMACY_CLAIMS,provider_e,QUANTITY,"NUMBER(18,2)",N,,Quantity dispensed
PHARMACY_CLAIMS,provider_e,DAYS_SUPPLY,"NUMBER(10,0)",Y,,Days supply
PHARMACY_CLAIMS,provider_e,PRESCRIBER_ID,VARCHAR(100),Y,,Prescriber identifier
PHARMACY_CLAIMS,provider_e,BILLED_AMOUNT,"NUMBER(18,2)",N,0.00,Amount billed
PHARMACY_CLAIMS,provider_e,ALLOWED_AMOUNT,"NUMBER(18,2)",N,0.00,Amount allowed
PHARMACY_CLAIMS,provider_e,PAID_AMOUNT,"NUMBER(18,2)",N,0.00,Amount paid
PHARMACY_CLAIMS,provider_e,MEMBER_COPAY,"NUMBER(18,2)",Y,0.00,Member copay
PHARMACY_CLAIMS,provider_e,CLAIM_STATUS,VARCHAR(50),Y,PENDING,Claim status
PHARMACY_CLAIMS,provider_e,CREATED_AT,TIMESTAMP_NTZ,N,CURRENT_TIMESTAMP(),Record creation timestamp
MEMBER_ELIGIBILITY,provider_e,MEMBER_ID,VARCHAR(100),N,,Unique member identifier
MEMBER_ELIGIBILITY,provider_e,FIRST_NAME,VARCHAR(200),N,,Member first name
MEMBER_ELIGIBILITY,provider_e,LAST_NAME,VARCHAR(200),N,,Member last name
MEMBER_ELIGIBILITY,provider_e,DATE_OF_BIRTH,DATE,N,,Date of birth
MEMBER_ELIGIBILITY,provider_e,GENDER,VARCHAR(10),Y,,Gender
MEMBER_ELIGIBILITY,provider_e,ADDRESS_LINE1,VARCHAR(500),Y,,Address line 1
MEMBER_ELIGIBILITY,provider_e,ADDRESS_LINE2,VARCHAR(500),Y,,Address line 2
MEMBER_ELIGIBILITY,provider_e,CITY,VARCHAR(200),Y,,City
MEMBER_ELIGIBILITY,provider_e,STATE,VARCHAR(50),Y,,State
MEMBER_ELIGIBILITY,provider_e,ZIP_CODE,VARCHAR(20),Y,,ZIP code
MEMBER_ELIGIBILITY,provider_e,PHONE,VARCHAR(50),Y,,Phone number
MEMBER_ELIGIBILITY,provider_e,EMAIL,VARCHAR(200),Y,,Email address
MEMBER_ELIGIBILITY,provider_e,PLAN_ID,VARCHAR(100),Y,,Plan identifier
MEMBER_ELIGIBILITY,provider_e,PLAN_NAME,VARCHAR(500),Y,,Plan name
MEMBER_ELIGIBILITY,provider_e,EFFECTIVE_DATE,DATE,N,,Coverage effective date
MEMBER_ELIGIBILITY,provider_e,TERMINATION_DATE,DATE,Y,,Coverage termination date
MEMBER_ELIGIBILITY,provider_e,STATUS,VARCHAR(50),N,ACTIVE,Eligibility status
MEMBER_ELIGIBILITY,provider_e,CREATED_AT,TIMESTAMP_NTZ,N,CURRENT_TIMESTAMP(),Record creation timestamp
